007590B8  Program entry point
0C5C3A10  New thread with ID 000021C0 created
0C5CD4D0  New thread with ID 00003570 created
009C798F  COND: EBP: = 0171B094 "LanguageLocaleRegion"
009C7991  COND: EDI: = 016DF884 "General"
009C798F  COND: EBP: = 0018FEDC "Critical0"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical1"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical2"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical3"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical4"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical5"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical6"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical7"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical8"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical9"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical10"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical11"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical12"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical13"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical14"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical15"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical16"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical17"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical18"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical19"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical20"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical21"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical22"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical23"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical24"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical25"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical26"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical27"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical28"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical29"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical30"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical31"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical32"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical33"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical34"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical35"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical36"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical37"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical38"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical39"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical40"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical41"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical42"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical43"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical44"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical45"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical46"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical47"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical48"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical49"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical50"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical51"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical52"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical53"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical54"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical55"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical56"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical57"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical58"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical59"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical60"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical61"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical62"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical63"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical64"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical65"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical66"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical67"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical68"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical69"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical70"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical71"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical72"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical73"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical74"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical75"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical76"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical77"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical78"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical79"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical80"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical81"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical82"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical83"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical84"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical85"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical86"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical87"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical88"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical89"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical90"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical91"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical92"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical93"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical94"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical95"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical96"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical97"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical98"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical99"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical100"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical101"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical102"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical103"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical104"
009C7991  COND: EDI: = 016C7690 "Karma"
009C798F  COND: EBP: = 0018FEDC "Critical105"
009C7991  COND: EDI: = 016C7690 "Karma"
